Identifier,Part Description/ Value,Package,PN,Source,Quantity,Unit Cost
U1,RF Modulator IC,SOIC-8,NJM2519A,Mouser,1,$1.05 
X1,SAW Resonator,F88SM,F88SM,TransparentC,1,$3.50 
C1,"6 pF, 50V, +/-0.5 pF",0805/2012,0805N6R0D500CT                                    ,Mouser,1,$0.10 
C2,"100 pF, 100V, 5%",0805/2012,C0805C101J1GAC,Mouser,1,$0.10 
"C3, C12","1 nF, 100V, 10%",0805/2012,C0805C102K1HACTU,Mouser,2,$0.12 
"C4, C5","24 pF, 250V, 5%",0805/2012,GRM21A5C2E240JW01D,Mouser,2,$0.37 
"C6, C7, C8, C13","0.1 uF, 50V, 10%",0805/2012,08055C104KAT2A,Mouser,4,$0.10 
"C9, C10","1 uF, 16V, 10%",0805/2012,CL21B105KOFNNNG,Mouser,2,$0.10 
C11,"1 uF, 50V, 10%, P",0805/2012,T491A105K050AT,Mouser,1,$0.85 
C14,"360 pF, 100V, 10%",0805/2012,08051C361KAT2A,Mouser,1,$0.28 
C15 ,"68 pF, 100V, 1%",0805/2012,VJ0805A680FXBPW1BC                                   ,Mouser,1,$0.35 
"C16, C18","10 uF, 25V, 10%",0805/2012,TMK212BBJ106MGHT,Mouser,2,$0.30 
"C17, C19","33 nF, 100V, 10%",0805/2012,C0805C333K2RECAUTO,Mouser,2,$0.30 
L1,"133 nH, 3A",Wurth 744918213,744918213,Mouser,1,$1.16 
L2,18 uH (Tunable),Coilcraft SLOT-7,7M3-183,Coilcraft,1,$3.95 
"R1, R5","470 Ω, 0.125W, 5%",0805/2012,RC0805JR-07470RP,Mouser,2,$0.23 
"R2, R4","75 Ω 0.5W, 0.5%",0805/2012,ERJ-P06D75R0V,Mouser,2,$0.27 
R3,"510 Ω, .25W, 5%",0805/2012,ERJ-T06J511V,Mouser,1,$0.32 
R6,"220 Ω, .125W, 1%",0805/2012,CRCW0805220RFKEBC,Mouser,1,$0.16 
R7,"2 kΩ, .125W, 1%",0805/2012,CRCW08052K00FKEBC,Mouser,1,$0.16 
R8,"30 kΩ, .125W, 5%",0805/2012,CR0805-JW-303ELF,Mouser,1,$0.10 
R9,EMPTY,0805/2012,,,0,$0.00 
"R10, R13","270 Ω, .4W, 1%",0805/2012,RCS0805270RFKEA,Mouser,2,$0.25 
"R11, R14","10 kΩ, .5W, 1%",0805/2012,CHP0805-FX-1002ELF,Mouser,2,$0.40 
"R12, R15","150 Ω, .25W, 5%",0805/2012,ERJ-T06J151V,Mouser,2,$0.22 
SW1,SPDT,PCM12,MSS3-V-T/R,Mouser,1,$0.74 
J1,40 Pin Header,2x20_P2.54,2222,Mouser,1,$1.50 
J2,2 Pin Header,1x02_P2.54,90147-1102,Mouser,1,$0.73 
J3,Coax Connector,,531-40101,Mouser,1,$2.02 
